index;x;y;z
0;-0.006332;-0.619446;-0.754425
1;0.016861;-0.637619;-0.789871
2;0.010559;-0.642136;-0.763428
3;0.000580;-0.663895;-0.691452
4;-0.017365;-0.652756;-0.660416
5;0.045517;-0.566940;-0.587662
6;0.023239;-0.429092;-1.018524
7;0.133774;-0.333664;-0.773193
8;0.639191;-0.505737;-0.884445
9;0.454895;-0.348114;-1.071289
10;0.424088;-0.334610;-0.973969
11;0.294083;-0.322662;-1.033020
12;0.247101;-0.379929;-0.861572
13;0.097839;-0.453110;-0.867004
14;0.132233;-0.401779;-0.918854
15;0.118927;-0.433289;-0.842545
16;0.106308;-0.417908;-0.936951
17;0.125839;-0.380844;-0.918686
18;0.091049;-0.381042;-0.971634
19;0.084778;-0.362946;-0.934387
20;0.070023;-0.381073;-0.933289
21;0.053619;-0.389816;-0.897125
22;0.032928;-0.416397;-0.862686
23;0.066223;-0.410751;-0.862564
24;0.077393;-0.426712;-0.867950
25;0.062653;-0.415909;-0.895828
26;0.081894;-0.441315;-0.888535
27;0.059708;-0.433289;-0.888428
28;0.095627;-0.439224;-0.881958
29;0.055847;-0.408264;-0.956528
30;0.032074;-0.431946;-0.890884
31;0.001495;-0.422623;-0.940140
32;0.014145;-0.413773;-0.941589
33;0.025497;-0.407532;-0.932846
34;0.026489;-0.425583;-0.879684
35;0.043655;-0.422653;-0.894897
36;0.055725;-0.453049;-0.824295
37;0.047226;-0.425156;-0.885330
38;0.081238;-0.438843;-0.848984
39;0.042252;-0.421951;-0.911331
40;0.062424;-0.456039;-0.874222
41;0.041382;-0.454742;-0.924545
42;0.022049;-0.443253;-0.937241
43;-0.012711;-0.423218;-0.882462
44;-0.042053;-0.416000;-0.776855
45;-0.055603;-0.391434;-0.534744
46;0.011520;-0.200241;-0.345291
47;-0.090088;-0.218414;-0.690872
48;-0.159149;-0.138596;-0.453903
49;-0.190079;-0.072586;-0.903397
50;-0.001511;-0.194824;-0.753128
51;-0.042145;-0.172897;-0.286087
52;-0.275360;0.259064;-0.220001
53;-0.921082;0.694733;-0.346085
54;-1.649048;1.001801;-0.560867
55;-2.169937;0.835693;-0.352600
56;-1.980270;0.953018;-0.582748
57;-1.794693;0.687912;-0.545380
58;-1.478943;0.368332;-0.379578
59;-1.220947;0.297043;-0.252945
60;-0.978394;0.344864;-0.220978
61;-0.858383;0.421661;-0.129272
62;-0.760071;0.451294;-0.165955
63;-0.785095;0.535019;-0.110458
64;-0.821518;0.569351;-0.036591
65;-0.834335;0.577225;-0.048157
66;-0.881195;0.729309;-0.028519
67;-0.871475;0.818359;-0.073715
68;-0.993134;0.977158;-0.036667
69;-0.758484;0.987915;0.111389
70;-0.557892;0.973785;0.003021
71;-0.677444;0.852509;0.105133
72;-0.695694;0.800766;0.178497
73;-0.553604;0.665970;0.088181
74;-0.539688;0.575928;-0.036545
75;-0.687012;0.626968;-0.064331
76;-0.801178;0.661148;-0.117233
77;-0.903473;0.649948;-0.158936
78;-1.040634;0.631348;-0.151291
79;-1.146545;0.666168;-0.169586
80;-1.308456;0.712692;-0.240860
81;-1.254379;0.646851;-0.361786
82;-1.122986;0.524155;-0.394333
83;-1.035919;0.687088;-0.228653
84;-1.055359;0.847366;-0.177856
