index;x;y;z
0;-0.000824;-0.452805;-1.036652
1;0.051224;-0.394638;-1.144150
2;-0.042038;-0.218414;-1.003906
3;-0.025909;-0.290512;-0.901367
4;-0.005722;-0.240387;-0.805038
5;0.050552;-0.231339;-0.759491
6;-0.075256;-0.326080;-0.859344
7;-0.043594;-0.385025;-1.023087
8;-0.170303;-0.433578;-1.166061
9;-0.353012;-0.337982;-1.380081
10;-0.409943;-0.192703;-1.315308
11;-0.747665;-0.021729;-1.301468
12;-0.687027;0.384262;-0.841522
13;-0.484482;0.435715;-0.825714
14;-0.449539;0.011459;-0.721466
15;-0.042465;-0.419449;-0.627472
16;0.621552;-1.403961;-0.809708
17;1.171066;-2.047165;-0.826492
18;0.408051;-1.659119;-1.024231
19;-0.319901;-1.427399;-1.606003
20;-0.622925;-1.281738;-2.222870
21;-0.932144;-1.221848;-1.071976
22;-0.926727;-0.449432;-0.305649
23;-0.566666;0.316818;-0.347534
24;-0.600052;0.835983;-0.299652
25;-0.507446;0.485947;-0.159363
26;-0.570602;-0.101364;-0.993744
27;-0.529739;-0.710678;-1.644089
28;-0.226669;-0.542404;-2.254486
29;0.258743;-0.568604;-1.476212
30;1.318130;-1.189545;-0.588669
31;1.323257;-1.243744;-0.315048
32;0.451843;-1.070160;-0.270142
33;-0.342545;-1.752060;-0.284485
34;-0.563095;-2.007477;-0.658600
35;-0.968567;-1.887085;-0.651276
36;-0.950790;-0.596451;-0.071442
37;-0.422287;0.163681;-0.090500
38;-0.542160;0.532761;-0.066910
39;-0.443344;0.596191;0.082230
40;-1.048050;0.464325;0.045044
41;-2.493561;-1.323624;-0.456726
42;-3.653046;-3.674774;-1.245850
43;-0.652176;-2.357025;-0.196228
44;0.852493;-1.104599;-0.272980
45;1.307800;-0.560089;-0.254715
46;0.971619;-0.423477;0.076599
47;0.170822;-0.968948;-0.332642
48;-1.105499;-2.631546;-0.546478
49;-1.983398;-2.937790;-0.947418
50;-1.510574;-1.455353;-0.313538
51;-0.365219;0.086624;-0.002594
52;-0.529175;0.960251;-0.339859
53;-0.488708;1.300842;0.145004
54;-0.860611;1.076614;-0.199478
55;-1.986725;-0.514954;-0.593201
56;-4.496140;-3.886017;-0.364502
57;-1.079727;-2.699921;-0.385223
58;0.831131;-1.617538;-0.147568
59;1.173203;-1.252457;0.030365
60;0.925400;-0.703323;0.308502
61;0.477829;-0.744904;-0.382751
62;-0.798233;-1.954330;-0.031693
63;-2.350891;-3.141556;-0.970566
64;-2.309067;-2.059387;-0.396851
65;-0.888321;-0.153168;0.151779
66;-0.337601;1.207825;-0.513687
67;-0.371857;1.654022;-0.010834
68;-0.871811;1.187027;-0.105423
69;-1.674850;0.883423;0.073410
70;-4.376419;-2.786713;0.116867
71;-3.153412;-3.188965;-1.471909
72;-0.159058;-1.722351;-0.273376
73;0.840042;-1.216187;-0.433746
74;1.316513;-1.032913;-0.480484
75;0.853271;-0.877625;-0.604935
76;-0.572266;-1.454086;-0.718216
77;-2.354172;-2.685013;-0.406570
78;-3.227600;-2.604202;-0.222565
79;-1.674072;-0.735214;0.261627
80;-0.620819;0.845032;-0.219284
81;-0.536743;1.635986;-0.041626
82;-0.439819;1.539307;0.116241
83;-1.053589;0.997116;0.145065
84;-2.717392;0.097824;0.009216
85;-4.918213;-3.734787;-1.395538
86;-1.460220;-2.585144;-1.066513
87;0.696396;-1.294678;-0.494278
