index;x;y;z
0;0.022903;-0.239975;-0.959152
1;-0.012024;-0.229599;-1.023041
2;-0.000031;-0.264114;-0.968704
3;-0.013412;-0.264633;-0.974030
4;-0.016693;-0.261780;-0.993057
5;-0.018341;-0.261551;-0.980133
6;-0.012146;-0.262192;-0.965363
7;-0.018814;-0.261337;-0.964233
8;-0.016556;-0.251038;-0.978622
9;-0.021103;-0.242310;-0.985214
10;-0.012695;-0.245087;-0.965881
11;-0.021774;-0.244843;-0.938065
12;-0.010193;-0.247986;-0.945969
13;-0.018982;-0.238297;-0.970932
14;-0.020660;-0.245789;-0.964951
15;-0.019669;-0.249420;-0.975082
16;-0.019135;-0.252151;-0.968689
17;-0.020004;-0.251205;-0.971252
18;-0.023621;-0.258133;-0.973480
19;-0.036148;-0.270935;-0.955200
20;-0.039062;-0.261719;-0.982925
21;-0.035385;-0.264954;-0.960693
22;-0.037628;-0.267578;-0.953857
23;-0.034653;-0.269775;-0.937759
24;-0.036606;-0.267029;-0.949036
25;-0.036057;-0.259796;-0.966354
26;-0.043076;-0.268906;-0.966827
27;-0.037979;-0.269577;-0.965652
28;-0.040298;-0.274490;-0.972977
29;-0.057007;-0.274063;-0.958588
30;-0.053940;-0.278564;-0.942871
31;-0.034973;-0.278854;-0.936859
32;-0.029724;-0.263519;-0.958099
33;-0.032578;-0.266510;-0.978119
34;-0.048599;-0.284744;-0.960770
35;-0.037674;-0.285995;-0.943588
36;-0.046875;-0.283585;-0.966309
37;-0.040268;-0.289474;-0.940781
38;-0.051880;-0.284119;-0.964371
39;-0.046555;-0.285751;-0.960709
40;-0.052322;-0.284439;-0.961182
41;-0.048218;-0.291000;-0.944717
42;-0.052551;-0.287598;-0.934753
43;-0.060944;-0.291565;-0.950516
44;-0.053604;-0.292084;-0.936249
45;-0.051254;-0.292236;-0.944458
46;-0.046249;-0.282394;-0.969650
47;-0.050339;-0.280350;-0.965897
48;-0.050156;-0.289688;-0.951202
49;-0.042587;-0.299072;-0.955139
50;-0.048965;-0.284348;-0.959808
51;-0.049149;-0.283066;-0.965927
52;-0.050659;-0.277222;-0.971252
53;-0.048508;-0.274246;-0.953110
54;-0.055603;-0.285461;-0.942017
55;-0.048004;-0.286438;-0.941330
56;-0.057480;-0.297989;-0.939041
57;-0.059662;-0.284348;-0.961853
58;-0.053726;-0.288895;-0.961670
59;-0.057159;-0.290466;-0.958755
60;-0.066742;-0.295456;-0.943710
61;-0.067841;-0.294769;-0.947388
62;-0.059677;-0.297195;-0.940674
63;-0.053757;-0.288422;-0.957199
64;-0.050858;-0.287964;-0.953110
65;-0.054749;-0.286697;-0.956680
66;-0.047943;-0.285721;-0.958130
67;-0.060425;-0.293259;-0.944153
68;-0.056717;-0.300171;-0.948044
69;-0.068207;-0.294724;-0.955536
70;-0.062469;-0.294968;-0.967575
71;-0.066422;-0.289627;-0.964691
72;-0.059601;-0.300507;-0.941147
73;-0.052216;-0.295761;-0.948166
74;-0.051331;-0.298004;-0.941818
75;-0.058044;-0.296722;-0.958755
76;-0.050552;-0.294327;-0.948318
77;-0.057922;-0.293289;-0.950409
78;-0.064423;-0.297974;-0.948547
79;-0.059250;-0.302307;-0.946075
80;-0.059418;-0.304535;-0.944565
81;-0.059723;-0.301346;-0.944519
82;-0.057098;-0.298126;-0.949219
83;-0.047989;-0.293762;-0.957474
84;-0.054794;-0.294830;-0.950989
85;-0.048737;-0.301056;-0.937775
86;-0.048584;-0.300858;-0.950623
87;-0.056992;-0.302094;-0.945602
88;-0.069550;-0.299179;-0.953918
89;-0.058853;-0.290298;-0.956680
90;-0.052658;-0.299149;-0.944901
91;-0.052231;-0.301407;-0.942154
92;-0.045929;-0.310699;-0.940582
93;-0.044464;-0.310303;-0.951416
94;-0.036987;-0.310516;-0.957474
95;-0.040726;-0.309219;-0.953293
96;-0.035873;-0.296341;-0.955887
97;-0.041580;-0.292999;-0.951553
98;-0.045944;-0.293594;-0.940109
99;-0.050308;-0.297791;-0.937866
100;-0.055832;-0.295944;-0.956650
101;-0.055145;-0.296158;-0.951294
102;-0.060623;-0.299423;-0.955017
103;-0.059952;-0.301941;-0.948608
104;-0.055847;-0.301025;-0.953964
105;-0.057480;-0.298645;-0.959778
106;-0.052551;-0.296234;-0.945633
107;-0.056488;-0.297150;-0.946304
108;-0.055740;-0.290009;-0.948257
109;-0.059372;-0.305206;-0.936874
110;-0.058838;-0.302887;-0.962311
111;-0.048172;-0.303238;-0.944778
112;-0.046951;-0.295990;-0.968964
113;-0.037872;-0.290466;-0.956299
114;-0.049164;-0.297150;-0.942886
115;-0.048981;-0.296738;-0.947800
116;-0.050278;-0.300781;-0.944916
117;-0.058182;-0.305649;-0.946899
118;-0.055374;-0.299728;-0.947723
119;-0.052536;-0.303131;-0.944260
120;-0.055557;-0.302856;-0.954865
121;-0.050797;-0.300659;-0.949905
122;-0.049118;-0.299561;-0.940674
123;-0.046280;-0.296432;-0.938889
124;-0.059418;-0.299393;-0.964859
125;-0.048325;-0.292435;-0.959274
126;-0.049042;-0.294800;-0.956268
127;-0.053833;-0.293976;-0.953918
128;-0.048569;-0.286240;-0.952789
129;-0.062332;-0.294693;-0.959534
130;-0.064697;-0.294678;-0.958130
131;-0.058578;-0.305435;-0.930008
132;-0.067780;-0.304291;-0.939529
133;-0.057724;-0.292694;-0.952560
134;-0.057358;-0.297043;-0.959717
135;-0.051819;-0.297531;-0.958008
136;-0.048447;-0.302200;-0.948181
137;-0.052689;-0.300278;-0.959595
138;-0.056656;-0.301285;-0.942459
139;-0.052139;-0.297134;-0.949234
140;-0.047546;-0.296341;-0.944931
141;-0.047577;-0.299210;-0.952240
142;-0.046768;-0.306244;-0.949463
143;-0.050690;-0.308914;-0.938461
144;-0.046310;-0.300888;-0.943085
145;-0.044434;-0.300262;-0.946564
146;-0.058960;-0.298096;-0.957901
147;-0.054016;-0.312561;-0.953613
148;-0.061462;-0.314163;-0.954086
149;-0.054352;-0.308853;-0.943954
150;-0.048218;-0.300827;-0.954071
151;-0.050278;-0.297012;-0.950302
152;-0.049515;-0.307846;-0.934296
153;-0.059402;-0.303223;-0.942993
154;-0.060364;-0.311462;-0.941818
155;-0.062256;-0.307480;-0.950592
156;-0.046188;-0.300095;-0.938004
157;-0.038864;-0.306091;-0.943390
158;-0.042236;-0.308182;-0.955917
159;-0.050064;-0.313431;-0.957687
160;-0.052002;-0.311050;-0.961594
161;-0.058289;-0.316299;-0.943054
162;-0.056458;-0.313080;-0.941193
163;-0.051544;-0.304932;-0.952499
164;-0.050140;-0.308090;-0.945679
165;-0.047928;-0.310379;-0.944214
166;-0.055542;-0.305237;-0.949661
167;-0.049088;-0.314438;-0.939392
168;-0.052933;-0.307831;-0.950287
169;-0.054733;-0.314926;-0.946030
170;-0.057236;-0.308640;-0.958069
171;-0.058472;-0.310028;-0.955902
172;-0.052124;-0.319565;-0.929749
173;-0.045502;-0.307083;-0.945160
174;-0.045593;-0.311584;-0.940704
175;-0.046082;-0.302170;-0.964417
176;-0.045670;-0.307098;-0.946671
177;-0.047119;-0.308762;-0.942032
178;-0.054550;-0.313263;-0.942398
179;-0.050919;-0.315399;-0.938705
180;-0.051987;-0.314728;-0.949310
181;-0.050781;-0.315277;-0.951096
182;-0.051712;-0.315781;-0.942902
183;-0.048767;-0.312073;-0.938354
184;-0.038315;-0.309296;-0.941605
185;-0.035400;-0.312302;-0.945953
186;-0.040390;-0.312439;-0.943314
187;-0.055313;-0.312134;-0.964035
188;-0.062225;-0.320175;-0.938889
189;-0.065826;-0.317764;-0.943390
190;-0.057678;-0.315857;-0.940170
191;-0.041824;-0.312561;-0.935562
192;-0.037430;-0.317261;-0.943497
193;-0.041687;-0.314392;-0.970032
194;-0.042740;-0.312515;-0.945282
195;-0.057266;-0.309250;-0.946365
196;-0.057953;-0.311020;-0.949188
197;-0.063873;-0.314102;-0.958221
198;-0.067581;-0.331268;-0.938828
199;-0.057220;-0.346405;-0.918655
200;-0.053253;-0.341064;-0.934723
201;-0.046432;-0.329285;-0.939514
202;-0.048004;-0.325348;-0.935425
203;-0.043457;-0.325897;-0.931152
204;-0.043274;-0.334915;-0.938812
205;-0.049301;-0.329300;-0.964508
206;-0.054764;-0.340714;-0.940628
207;-0.064697;-0.338486;-0.941711
208;-0.056000;-0.337448;-0.936279
209;-0.059082;-0.340012;-0.927948
210;-0.056290;-0.330078;-0.948288
211;-0.053207;-0.339523;-0.937119
212;-0.052338;-0.334503;-0.932465
213;-0.052353;-0.337845;-0.927704
214;-0.051193;-0.335342;-0.939621
215;-0.055389;-0.336517;-0.946548
216;-0.049774;-0.338989;-0.933548
217;-0.049042;-0.336456;-0.934280
218;-0.060837;-0.334595;-0.944214
219;-0.061905;-0.326797;-0.947037
220;-0.059601;-0.336548;-0.935852
221;-0.050476;-0.331955;-0.921188
222;-0.047928;-0.335785;-0.938446
223;-0.051010;-0.330612;-0.950287
224;-0.053192;-0.323639;-0.953262
225;-0.067245;-0.335876;-0.946762
226;-0.065781;-0.342285;-0.924683
227;-0.063736;-0.343399;-0.931747
228;-0.060257;-0.337433;-0.934189
229;-0.054123;-0.336685;-0.932587
230;-0.058533;-0.332916;-0.939529
231;-0.062775;-0.340607;-0.942383
232;-0.065994;-0.344345;-0.935394
233;-0.074615;-0.349304;-0.933823
234;-0.070267;-0.351959;-0.928070
235;-0.068192;-0.349869;-0.933578
236;-0.065308;-0.341034;-0.944305
237;-0.054474;-0.340988;-0.940063
238;-0.066025;-0.342651;-0.926483
239;-0.054794;-0.343521;-0.923218
240;-0.062042;-0.340073;-0.945190
241;-0.074036;-0.352798;-0.936188
242;-0.082123;-0.346558;-0.947037
243;-0.053711;-0.341843;-0.924789
244;-0.041748;-0.342850;-0.923462
245;-0.046982;-0.336945;-0.934738
246;-0.057098;-0.343155;-0.935608
247;-0.060257;-0.344009;-0.938217
248;-0.057083;-0.332687;-0.939850
249;-0.059860;-0.336670;-0.939941
250;-0.062180;-0.338318;-0.937531
251;-0.071945;-0.342819;-0.928848
252;-0.071564;-0.345215;-0.931213
253;-0.062439;-0.331848;-0.952454
254;-0.048920;-0.342590;-0.948227
255;-0.064850;-0.339035;-0.955276
256;-0.055969;-0.354248;-0.912415
257;-0.060623;-0.340012;-0.933807
258;-0.058197;-0.343033;-0.918182
259;-0.059143;-0.336731;-0.932388
260;-0.060257;-0.335022;-0.940140
261;-0.050644;-0.350922;-0.924484
262;-0.067841;-0.355255;-0.947449
263;-0.075226;-0.358429;-0.941772
264;-0.067001;-0.349655;-0.935089
265;-0.062485;-0.340942;-0.935608
266;-0.058502;-0.338104;-0.919846
267;-0.072037;-0.341415;-0.919662
268;-0.075226;-0.347015;-0.925064
269;-0.072784;-0.356155;-0.928925
270;-0.060623;-0.350082;-0.940094
271;-0.052719;-0.343948;-0.943848
272;-0.056793;-0.345505;-0.935562
273;-0.063217;-0.333771;-0.941544
274;-0.062332;-0.345490;-0.920227
275;-0.072708;-0.339081;-0.939758
276;-0.070190;-0.347336;-0.939529
277;-0.073898;-0.350418;-0.934875
278;-0.072479;-0.350540;-0.934570
279;-0.060272;-0.348892;-0.927795
280;-0.065567;-0.343658;-0.946701
281;-0.062561;-0.344940;-0.928085
282;-0.061066;-0.346039;-0.927139
283;-0.062149;-0.348068;-0.933990
284;-0.072662;-0.350616;-0.937073
285;-0.077728;-0.352692;-0.926605
286;-0.075287;-0.359360;-0.928955
287;-0.076324;-0.359070;-0.929321
288;-0.069107;-0.354294;-0.929794
289;-0.060989;-0.347778;-0.940353
290;-0.062881;-0.348434;-0.931702
291;-0.066299;-0.344955;-0.925476
292;-0.064606;-0.350113;-0.909378
293;-0.068604;-0.349167;-0.942673
294;-0.079010;-0.342575;-0.928375
295;-0.071823;-0.349350;-0.929794
296;-0.083267;-0.342484;-0.932205
297;-0.073730;-0.340103;-0.937454
298;-0.062790;-0.338120;-0.924744
299;-0.064804;-0.337921;-0.939209
300;-0.075684;-0.343628;-0.940384
301;-0.073685;-0.347473;-0.945129
302;-0.070511;-0.347397;-0.941696
303;-0.080017;-0.353882;-0.936554
304;-0.080704;-0.351151;-0.930801
305;-0.077438;-0.350143;-0.927689
306;-0.073578;-0.351303;-0.931656
307;-0.063248;-0.347809;-0.930237
308;-0.066971;-0.352554;-0.933746
309;-0.064240;-0.347168;-0.935089
310;-0.060822;-0.350937;-0.914230
311;-0.070053;-0.351074;-0.927841
312;-0.065750;-0.348694;-0.919464
313;-0.073914;-0.363663;-0.932663
314;-0.086395;-0.357178;-0.935257
315;-0.065918;-0.351379;-0.929291
316;-0.069809;-0.352798;-0.941864
317;-0.072784;-0.353348;-0.939255
318;-0.072433;-0.362411;-0.919632
319;-0.067932;-0.350159;-0.929230
320;-0.063599;-0.350861;-0.923538
321;-0.069458;-0.352158;-0.939026
322;-0.074753;-0.356049;-0.932907
323;-0.077881;-0.366852;-0.914612
324;-0.066116;-0.361038;-0.921570
325;-0.063889;-0.360428;-0.923828
326;-0.063919;-0.360229;-0.935638
327;-0.065369;-0.359528;-0.932449
328;-0.072556;-0.356674;-0.927322
329;-0.074280;-0.360657;-0.910843
330;-0.074249;-0.353775;-0.939178
331;-0.076675;-0.350311;-0.937408
332;-0.088837;-0.365219;-0.934921
333;-0.082382;-0.355392;-0.938675
334;-0.066238;-0.360687;-0.912262
335;-0.075684;-0.354828;-0.935165
336;-0.067841;-0.351761;-0.935410
337;-0.073288;-0.356171;-0.932266
338;-0.070389;-0.352386;-0.929413
339;-0.070557;-0.352234;-0.926193
340;-0.075943;-0.354126;-0.926590
341;-0.072586;-0.354858;-0.937286
342;-0.074081;-0.358917;-0.929398
343;-0.074692;-0.354080;-0.930481
344;-0.073990;-0.352188;-0.938049
345;-0.072540;-0.354111;-0.923370
346;-0.073257;-0.353607;-0.921066
347;-0.080704;-0.353104;-0.938751
348;-0.085922;-0.348557;-0.924545
349;-0.069855;-0.357803;-0.907318
350;-0.072769;-0.347824;-0.937668
351;-0.074432;-0.354828;-0.951492
352;-0.089233;-0.359406;-0.939529
353;-0.080078;-0.363068;-0.924683
354;-0.069519;-0.358566;-0.919357
355;-0.071152;-0.344849;-0.940979
356;-0.073547;-0.351059;-0.931534
357;-0.074219;-0.353424;-0.933350
358;-0.082275;-0.359055;-0.918503
359;-0.091431;-0.356155;-0.930176
360;-0.086670;-0.358353;-0.928894
361;-0.090973;-0.359833;-0.920700
362;-0.087036;-0.360428;-0.926453
363;-0.082947;-0.364883;-0.922455
364;-0.081711;-0.364014;-0.927078
365;-0.082077;-0.363510;-0.931366
366;-0.085052;-0.356003;-0.929092
367;-0.075150;-0.366318;-0.903763
368;-0.084671;-0.365601;-0.922668
369;-0.091248;-0.370407;-0.922607
370;-0.092560;-0.368851;-0.931854
371;-0.078140;-0.361908;-0.925720
372;-0.077194;-0.368546;-0.919617
373;-0.085617;-0.363815;-0.932236
374;-0.078400;-0.365601;-0.923035
375;-0.085220;-0.365906;-0.924591
376;-0.092422;-0.368423;-0.924805
377;-0.086624;-0.367844;-0.919312
378;-0.092926;-0.365875;-0.920197
379;-0.089996;-0.372406;-0.917191
380;-0.085983;-0.373444;-0.918213
381;-0.082748;-0.367142;-0.931274
382;-0.080734;-0.366364;-0.926224
383;-0.080109;-0.364716;-0.919983
384;-0.078247;-0.363037;-0.925476
385;-0.085892;-0.368912;-0.914429
386;-0.087097;-0.368774;-0.934448
387;-0.084641;-0.364212;-0.925110
388;-0.093491;-0.369751;-0.927750
389;-0.090439;-0.362244;-0.932831
390;-0.076431;-0.363251;-0.906281
391;-0.074936;-0.356613;-0.919022
392;-0.078476;-0.356018;-0.936569
393;-0.086029;-0.367310;-0.922318
394;-0.091461;-0.366776;-0.919357
395;-0.096939;-0.368256;-0.930710
396;-0.092636;-0.368088;-0.922546
397;-0.093964;-0.369736;-0.927933
398;-0.089035;-0.364258;-0.930984
399;-0.078873;-0.360840;-0.924057
400;-0.077469;-0.358566;-0.913803
401;-0.080933;-0.358292;-0.922791
402;-0.083145;-0.357117;-0.924973
403;-0.091858;-0.363892;-0.925644
404;-0.092422;-0.363907;-0.922165
405;-0.083435;-0.359741;-0.928268
406;-0.091095;-0.360931;-0.927322
407;-0.094498;-0.364578;-0.932266
408;-0.093719;-0.354599;-0.942490
409;-0.086548;-0.365067;-0.904510
410;-0.084824;-0.356476;-0.926392
411;-0.092117;-0.356049;-0.935547
412;-0.087265;-0.360535;-0.919235
413;-0.085892;-0.356537;-0.934250
414;-0.089462;-0.362869;-0.925446
415;-0.088287;-0.360535;-0.922379
416;-0.079712;-0.358551;-0.924011
417;-0.085999;-0.356247;-0.935760
418;-0.086273;-0.357239;-0.927017
419;-0.089249;-0.354813;-0.922012
420;-0.087692;-0.357544;-0.922180
421;-0.084122;-0.357178;-0.923660
422;-0.083969;-0.356400;-0.930359
423;-0.092636;-0.353653;-0.934586
424;-0.088287;-0.358063;-0.918671
425;-0.088608;-0.351410;-0.940445
426;-0.087723;-0.351990;-0.939041
427;-0.096680;-0.353653;-0.942932
428;-0.093597;-0.350143;-0.929382
429;-0.081177;-0.354843;-0.912140
430;-0.083710;-0.348984;-0.928970
431;-0.086594;-0.350876;-0.934235
432;-0.087860;-0.356110;-0.932968
433;-0.085602;-0.359512;-0.932541
434;-0.093063;-0.359177;-0.933548
435;-0.093262;-0.365723;-0.917694
436;-0.089615;-0.360199;-0.920242
437;-0.085175;-0.357544;-0.926575
438;-0.083801;-0.356049;-0.924988
439;-0.082947;-0.360657;-0.917297
440;-0.089233;-0.372147;-0.917847
441;-0.102432;-0.374207;-0.938599
442;-0.099335;-0.372574;-0.932922
443;-0.093536;-0.356094;-0.922440
444;-0.083359;-0.357452;-0.919052
445;-0.083588;-0.356186;-0.922256
446;-0.084305;-0.369644;-0.915710
447;-0.098770;-0.372116;-0.930283
448;-0.095108;-0.375168;-0.915009
449;-0.091217;-0.378204;-0.921707
450;-0.090103;-0.373260;-0.928833
451;-0.087219;-0.372879;-0.919266
452;-0.091965;-0.370712;-0.918182
453;-0.093872;-0.371841;-0.918442
454;-0.091400;-0.370789;-0.920914
455;-0.089600;-0.375427;-0.906525
456;-0.092957;-0.377884;-0.920135
457;-0.090408;-0.374115;-0.930435
458;-0.082443;-0.372223;-0.925079
459;-0.088104;-0.374191;-0.924850
460;-0.095016;-0.371277;-0.929764
461;-0.092804;-0.374512;-0.910751
462;-0.104294;-0.365021;-0.912598
463;-0.087448;-0.368149;-0.909576
464;-0.089600;-0.367386;-0.960236
465;-0.089752;-0.397919;-0.907776
466;-0.203293;-0.430115;-0.873993
467;-0.268311;-0.412949;-0.802139
468;-0.149185;-0.493256;-0.703949
469;-0.115005;-0.493698;-0.735550
470;0.054596;-0.506088;-0.819366
471;0.022537;-0.396927;-0.835892
472;0.028900;-0.458984;-0.945328
473;-0.218445;-0.306061;-0.915421
474;0.102081;-0.599426;-0.892929
475;-0.004883;-0.528641;-0.762085
476;-0.271698;-0.404510;-0.904816
477;-0.181335;-0.413712;-0.753220
478;-0.241669;-0.463074;-0.814163
479;-0.332779;-0.460266;-0.753311
480;-0.420242;-0.415970;-0.714798
481;-0.378922;-0.408081;-0.711319
482;-0.544159;-0.410706;-0.661285
483;-0.689087;-0.580460;-0.534866
484;-0.807114;-0.574539;-0.551834
485;-0.783112;-0.546753;-0.703934
486;-0.781296;-0.527802;-0.717148
487;-0.737762;-0.474365;-0.704529
488;-0.677414;-0.429520;-0.718475
489;-0.670639;-0.413483;-0.673889
490;-0.696259;-0.409195;-0.633667
491;-0.673279;-0.390366;-0.651108
492;-0.699829;-0.383911;-0.623627
493;-0.680923;-0.383789;-0.610992
494;-0.677948;-0.388535;-0.623886
495;-0.672852;-0.376740;-0.595108
496;-0.664307;-0.393814;-0.598785
497;-0.677002;-0.394424;-0.592636
498;-0.670914;-0.390976;-0.602509
499;-0.694016;-0.397568;-0.612976
500;-0.689575;-0.388275;-0.607956
501;-0.697464;-0.397232;-0.617447
502;-0.670486;-0.416183;-0.603500
503;-0.700729;-0.417542;-0.628235
504;-0.696167;-0.400009;-0.631714
505;-0.680344;-0.386597;-0.602066
506;-0.684952;-0.387817;-0.592102
507;-0.677795;-0.390625;-0.576431
508;-0.676682;-0.386658;-0.600723
509;-0.669983;-0.398209;-0.605728
510;-0.678360;-0.402069;-0.608475
511;-0.685608;-0.406082;-0.621140
512;-0.698227;-0.415237;-0.628098
513;-0.692642;-0.413208;-0.626007
514;-0.675034;-0.411224;-0.605667
515;-0.683212;-0.412888;-0.592010
516;-0.679001;-0.405258;-0.603668
517;-0.672089;-0.402145;-0.598099
518;-0.667892;-0.396622;-0.594269
519;-0.675385;-0.397614;-0.601532
520;-0.677826;-0.398804;-0.604431
521;-0.676865;-0.397552;-0.618958
522;-0.668060;-0.397583;-0.606766
523;-0.685745;-0.403183;-0.624084
524;-0.677750;-0.405487;-0.626053
525;-0.684906;-0.409592;-0.609390
526;-0.682632;-0.400131;-0.606476
527;-0.673538;-0.389526;-0.607971
528;-0.674484;-0.398880;-0.609406
529;-0.683823;-0.399918;-0.615341
530;-0.676727;-0.391571;-0.622025
531;-0.690872;-0.396454;-0.626282
532;-0.679718;-0.399170;-0.618210
533;-0.675293;-0.396042;-0.611023
534;-0.675583;-0.397751;-0.613403
535;-0.681213;-0.397049;-0.616257
536;-0.695694;-0.397522;-0.619598
537;-0.692795;-0.395233;-0.611847
538;-0.664291;-0.382538;-0.593948
539;-0.656998;-0.377457;-0.607300
540;-0.654022;-0.371201;-0.611023
541;-0.677002;-0.380402;-0.640930
542;-0.686508;-0.394379;-0.634781
543;-0.688965;-0.390030;-0.639557
544;-0.677444;-0.386047;-0.621704
545;-0.688141;-0.385269;-0.632095
546;-0.685577;-0.377625;-0.619095
547;-0.677155;-0.370407;-0.615189
548;-0.690079;-0.372910;-0.626495
549;-0.684753;-0.362762;-0.628143
550;-0.682220;-0.370346;-0.620300
551;-0.691544;-0.373245;-0.630173
552;-0.689484;-0.374908;-0.628677
553;-0.683395;-0.369293;-0.621643
554;-0.688126;-0.362930;-0.624771
555;-0.687332;-0.361023;-0.630310
556;-0.689575;-0.365723;-0.631058
557;-0.688766;-0.362854;-0.628204
558;-0.694702;-0.359024;-0.632217
559;-0.688156;-0.355011;-0.609833
560;-0.695190;-0.348862;-0.615555
561;-0.684174;-0.339035;-0.622162
562;-0.702515;-0.351974;-0.623749
563;-0.707184;-0.362976;-0.639160
564;-0.706589;-0.365662;-0.645737
565;-0.693710;-0.357880;-0.626175
566;-0.687057;-0.357269;-0.620712
567;-0.686737;-0.351608;-0.621002
568;-0.690598;-0.349289;-0.628983
569;-0.700668;-0.354279;-0.624695
570;-0.693314;-0.354263;-0.629028
571;-0.694473;-0.357941;-0.629364
572;-0.690521;-0.357346;-0.617722
573;-0.694290;-0.355652;-0.618256
574;-0.696579;-0.349503;-0.625793
575;-0.693420;-0.355423;-0.627045
576;-0.687332;-0.349304;-0.614487
577;-0.682343;-0.345474;-0.626190
578;-0.699646;-0.357941;-0.630905
579;-0.689896;-0.351471;-0.617432
580;-0.698517;-0.355331;-0.636749
581;-0.695831;-0.353149;-0.630081
582;-0.698059;-0.360275;-0.626938
583;-0.700516;-0.360306;-0.627609
584;-0.686630;-0.353638;-0.630600
585;-0.681717;-0.352158;-0.625778
586;-0.685226;-0.350143;-0.628769
587;-0.681931;-0.338776;-0.658401
588;-0.675064;-0.327255;-0.655243
589;-0.677429;-0.342422;-0.642212
590;-0.677032;-0.345932;-0.643692
591;-0.673981;-0.351532;-0.634354
592;-0.677124;-0.351456;-0.641846
593;-0.683411;-0.355179;-0.649643
594;-0.675095;-0.359634;-0.650375
595;-0.672150;-0.349411;-0.653397
596;-0.681061;-0.347458;-0.655182
597;-0.673676;-0.353043;-0.640701
598;-0.676620;-0.349319;-0.638596
599;-0.668396;-0.345245;-0.643311
600;-0.684784;-0.349655;-0.642059
601;-0.679871;-0.350815;-0.631378
602;-0.688675;-0.350815;-0.649567
603;-0.672272;-0.346878;-0.640594
604;-0.675507;-0.351562;-0.636810
605;-0.676453;-0.346664;-0.645264
606;-0.677155;-0.343903;-0.651260
607;-0.676331;-0.343445;-0.647430
608;-0.683914;-0.345795;-0.647156
609;-0.687744;-0.348251;-0.637650
610;-0.692719;-0.344040;-0.640884
611;-0.682693;-0.342239;-0.632019
612;-0.683258;-0.339828;-0.645508
613;-0.680893;-0.341080;-0.638077
614;-0.686874;-0.340485;-0.646530
615;-0.686584;-0.338531;-0.652802
616;-0.690308;-0.339340;-0.649078
617;-0.688019;-0.341263;-0.636230
618;-0.692368;-0.335510;-0.634598
619;-0.675613;-0.341049;-0.636993
620;-0.693405;-0.345306;-0.653931
621;-0.694382;-0.347916;-0.635788
622;-0.693039;-0.346542;-0.631866
