index;x;y;z
0;0.054352;-0.368210;-0.764648
1;0.002808;-0.372864;-0.898499
2;0.000854;-0.402496;-0.736832
3;0.004181;-0.538391;-0.681778
4;-0.012329;-0.474335;-0.779831
5;0.100449;-0.397690;-0.872070
6;0.230377;-0.402176;-0.875259
7;0.229950;-0.222229;-0.785904
8;0.387161;-0.099518;-1.148224
9;0.548279;-0.656555;-0.795868
10;0.035233;-0.287064;0.047485
11;0.023788;0.138901;0.155762
12;-0.357056;0.392441;0.169891
13;-0.761429;0.325043;-0.164627
14;-1.259857;0.518036;-0.162811
15;-1.793915;0.600998;-0.468109
16;-2.199951;0.477264;-0.637711
17;-1.893356;0.288437;-0.525040
18;-2.199478;0.843399;-0.447678
19;-1.930130;0.681854;-0.546585
20;-1.469299;0.287766;-0.480331
21;-1.158585;-0.085495;-0.430710
22;-0.982620;-0.301666;-0.306213
23;-0.907471;-0.191711;-0.195892
24;-0.967438;0.029541;-0.192215
25;-1.038574;0.201981;-0.280289
26;-1.282410;0.436584;-0.238556
27;-1.311432;0.518280;-0.309982
28;-1.111267;0.569717;-0.218628
29;-1.084930;1.818176;0.153854
30;-0.393311;1.455887;-0.018860
31;-0.723572;1.599411;0.142410
32;-0.662170;1.122269;0.160080
33;-0.935318;0.477020;0.695572
34;-0.717667;0.700546;-0.012115
35;-0.912231;0.378113;-0.088150
36;-0.977890;0.357437;-0.140747
37;-1.152985;0.190598;-0.213898
38;-1.142853;-0.007217;-0.233063
39;-1.198364;-0.035339;-0.304779
40;-1.176102;-0.091995;-0.512085
41;-1.706161;0.357895;-0.606583
42;-1.584396;0.269684;-0.701080
43;-1.597931;0.516968;-0.611618
44;-1.712341;0.622086;-0.672226
45;-1.262024;0.620697;-0.630615
46;-1.035828;0.537872;-0.605347
47;-0.823135;0.680344;-0.398361
48;-0.508957;0.729889;-0.099213
49;-0.174530;0.579132;-0.123550
50;-0.259491;0.630997;-0.219223
51;-0.431473;0.613892;-0.226288
52;-0.774597;0.642410;-0.293808
53;-1.385193;1.038406;-0.178101
54;-1.513031;1.088242;-0.198563
55;-1.722687;1.220459;-0.157578
56;-1.553589;0.971970;-0.173157
57;-1.259613;0.511734;-0.099548
58;-1.182266;0.416565;-0.038071
59;-1.144302;0.277222;-0.130463
60;-1.041443;0.276993;-0.209442
61;-1.103516;0.149078;-0.285583
62;-1.209335;0.206482;-0.369400
63;-1.350037;0.236023;-0.418274
64;-1.537598;0.593018;-0.459915
65;-1.738586;0.853226;-0.370483
66;-1.729507;1.096390;-0.221817
67;-1.648117;1.234970;-0.281052
68;-1.310196;1.119415;-0.318893
69;-1.130051;0.973038;-0.266052
70;-0.909897;0.793259;-0.155701
71;-0.642776;0.598511;-0.138046
72;-0.452408;0.485214;-0.116211
73;-0.443359;0.443176;-0.144348
74;-0.468628;0.492935;-0.073761
75;-0.583389;0.575684;-0.080566
76;-0.828201;0.507828;-0.089462
77;-1.339340;0.844788;-0.015152
78;-1.842606;0.864471;-0.136719
79;-1.959442;0.826126;-0.163727
80;-1.880630;0.468292;-0.255539
81;-1.643921;0.282913;-0.204010
82;-1.346115;0.241470;-0.122162
83;-1.120224;0.091431;-0.120895
84;-1.053223;0.069672;-0.259644
85;-1.257233;0.141418;-0.487244
86;-1.224106;0.122375;-0.589081
87;-1.449905;0.307449;-0.468719
88;-1.318954;0.227844;-0.517197
89;-1.613190;0.528168;-0.541046
90;-1.474579;0.527008;-0.738525
91;-1.529007;0.523499;-0.636963
92;-1.370239;0.545090;-0.457748
93;-1.011459;0.387009;-0.524353
94;-0.853973;0.459198;-0.304230
95;-0.626312;0.433670;-0.292801
96;-0.484161;0.333359;-0.254898
97;-0.482269;0.371887;-0.191360
98;-0.565491;0.330765;-0.301300
99;-1.027161;0.486374;-0.243240
100;-1.095612;0.293243;-0.462402
101;-1.803070;0.642746;-0.297745
102;-1.590683;0.310425;-0.568207
103;-1.616180;0.292984;-0.481766
104;-1.338852;0.095291;-0.329391
105;-1.220795;0.053329;-0.304016
106;-1.104736;0.055450;-0.303986
107;-0.960495;-0.018692;-0.289185
108;-1.152817;0.019394;-0.426895
109;-1.117630;-0.096207;-0.463715
110;-1.595123;0.190308;-0.525528
111;-1.554428;0.164841;-0.551392
112;-1.532425;0.220337;-0.443832
